kabupaten_raw,penduduk_lk,penduduk_pr,penduduk_total,kab_sederhana,Kabupaten/Kota_x,Jumlah Rumah Sakit Umum,Jumlah Rumah Sakit Khusus,Jumlah Puskesmas Rawat Inap,Jumlah Puskesmas Non Rawat Inap,Jumlah Klinik Pratama,Jumlah Posyandu,Kabupaten/Kota_y,tbc_penemuan,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,hiv_baru,kusta_per_100k,malaria_per_1k,dbd_per_100k,kabupaten_kota,faskes_total,faskes_per_100k,hiv_per_100k,malaria_per_100k,index_vektor,index_kronis,index_total_penyakit
Kabupaten Pacitan,298826,297823,596649,Pacitan,Pacitan,3,0.0,15.0,9.0,17,843,Pacitan,80.9,85.1,6.0,1.61,0.01,40,Pacitan,887.0,148.6636196490734,1.005616367411996,1.0,41.0,83.51561636741201,124.51561636741201
Kabupaten Ponorogo,485603,486979,972582,Ponorogo,Ponorogo,8,0.0,19.0,12.0,49,1134,Ponorogo,80.5,84.3,22.0,2.51,0.01,12,Ponorogo,1222.0,125.6449327665945,2.262020066174369,1.0,13.0,85.27202006617438,98.27202006617438
Kabupaten Trenggalek,373810,370548,744358,Trenggalek,Trenggalek,3,0.0,20.0,2.0,25,858,Trenggalek,64.9,79.7,1.0,1.0,0.06,18,Trenggalek,908.0,121.9843139994465,0.13434395814917016,6.0,24.0,66.03434395814918,90.03434395814918
Kabupaten Tulungagung,557045,556928,1113973,Tulungagung,Tulungagung,10,0.0,17.0,15.0,52,1242,Tulungagung,83.3,87.5,74.0,2.66,0.01,20,Tulungagung,1336.0,119.93109348251707,6.642889908462772,1.0,21.0,92.60288990846277,113.60288990846277
Kabupaten Blitar,629127,620370,1249497,Blitar,Blitar,8,0.0,18.0,6.0,26,1472,Blitar,92.0,81.8,49.0,0.94,0.0,20,Blitar,1530.0,122.44927358769169,3.9215780430045046,0.0,20.0,96.8615780430045,116.8615780430045
Kabupaten Kediri,841629,825821,1667450,Kediri,Kediri,9,0.0,8.0,29.0,58,1753,Kediri,77.9,88.6,31.0,1.51,0.01,20,Kediri,1857.0,111.36765720111546,1.85912621068098,1.0,21.0,81.269126210681,102.269126210681
Kabupaten Malang,1361591,1341584,2703175,Malang,Malang,22,2.0,39.0,0.0,106,2868,Malang,86.2,84.2,45.0,1.74,0.04,38,Malang,3037.0,112.3493669481258,1.664709092086158,4.0,42.0,89.60470909208615,131.60470909208615
Kabupaten Lumajang,567106,580155,1147261,Lumajang,Lumajang,8,0.0,25.0,0.0,36,1304,Lumajang,106.6,86.2,33.0,10.77,0.02,22,Lumajang,1373.0,119.67634217497152,2.8764160901486235,2.0,24.0,120.24641609014861,144.2464160901486
Kabupaten Jember,1288194,1296577,2584771,Jember,Jember,12,2.0,43.0,7.0,92,2895,Jember,94.5,89.9,105.0,6.01,0.01,23,Jember,3051.0,118.03753601382869,4.062255418371685,1.0,24.0,104.5722554183717,128.5722554183717
Kabupaten Banyuwangi,873100,871714,1744814,Banyuwangi,Banyuwangi,13,0.0,18.0,27.0,71,2318,Banyuwangi,78.2,87.5,47.0,2.95,0.01,20,Banyuwangi,2447.0,140.24417502381343,2.6936968639637233,1.0,21.0,83.84369686396373,104.84369686396373
Kabupaten Bondowoso,385966,398226,784192,Bondowoso,Bondowoso,3,0.0,25.0,0.0,14,1095,Bondowoso,92.6,87.5,21.0,5.98,0.0,29,Bondowoso,1137.0,144.99000244837998,2.6779156125030603,0.0,29.0,101.25791561250306,130.25791561250304
Kabupaten Situbondo,340547,353534,694081,Situbondo,Situbondo,6,1.0,18.0,2.0,16,947,Situbondo,95.8,92.7,50.0,11.12,0.01,56,Situbondo,990.0,142.63464927004196,7.203770165153635,1.0,57.0,114.12377016515364,171.12377016515364
Kabupaten Probolinggo,573945,589914,1163859,Probolinggo,Probolinggo,5,0.0,21.0,12.0,21,1342,Probolinggo,91.5,91.2,31.0,10.1,0.01,62,Probolinggo,1401.0,120.37540629921666,2.6635528874202112,1.0,63.0,104.2635528874202,167.2635528874202
